original,translation
coreti,steal
deseti,preaches
cinteti,thinks
pūjeti,honours;offers
pūreti,fills
pīḷeti,oppresses
katheti,speaks
uḍḍeti,flies
udeti,rises
ropeti,plants
manteti,discusses
āmanteti,takes counsel;addresses
nimanteti,invites
oloketi,looks at
jāleti,kindles
chādeti,covers
māreti,kills
neti,leads;takes away
āneti,brings
ṭhapeti,keeps
pāteti,fells
pāleti,rules;governs
parivajjeti,avoids
obhāseti,illuminates
deti,gives
kiṇāti,buys
vikkiṇāti,sells
suṇāti,hears
mināti,measures
gaṇhāti,takes
uggaṇhāti,learns
jānāti,knows
jināti,wins
pāpuṇāti,reaches
pappoti,reaches
ocināti,picks;collects
pahiṇāti,sends
hoti,to be;there is
karoti,to do;do;act;make;build
atthi,to be
